Sex_M	Age	Age2	pEUR	Height	PRS0	f1	f2	R2_PRS0	Rep	Label2	SE_PRS0	ss1	Test_Data	N	Label
1	65.5	4290.25	1	187.96	2.15224472523953	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	3.357	1000	all	0.418	PRS_PAGE	PMBB_EUR	49781	PAGE
1	65.5	4290.25	1	187.96	2.2095043695513	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	6.07	1000	all	0.586	PRS_BBJ	PMBB_EUR	159095	BBJ
1	65.5	4290.25	1	187.96	2.83634348868628	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	10.585	1000	all	0.771	PRS_META_ALL	PMBB_EUR	610373	UKBB+BBJ+META_AFR+PAGE
1	65.5	4290.25	1	187.96	2.89484719532838	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	13.864	1000	all	0.867	PRS_META_ALL2	PMBB_EUR	660019	UKBB+GIANT+BBJ+META_AFR+PAGE
1	65.5	4290.25	1	187.96	2.48226052690077	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	13.839	1000	all	0.838	PRS_META_EUR	PMBB_EUR	613667	UKBB+GIANT
1	65.5	4290.25	1	187.96	2.9211744280401	Height~Sex_M+Age+Age2+PRS0	Height~Sex_M+Age+Age2	5.474	1000	all	0.546	PRS_META_NEA	PMBB_EUR	249985	META_AFR+PAGE+BBJ
1	76	5776	0.158129049860984	180.34	-0.109483772349325	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	1.818	1000	all	0.572	PRS_META_AFR	HRS_AFR	41109	META_AFR
1	76	5776	0.158129049860984	180.34	0.11898321843821	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	0.78	1000	pEUR<0.17	0.502	PRS_META_AFR	HRS_AFR	41109	META_AFR
1	58	3364	0.18646724832963	180.97	0.451930545987527	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	3.493	1000	pEUR>0.17	1.199	PRS_META_AFR	HRS_AFR	41109	META_AFR
1	76	5776	0.158129049860984	180.34	0.535323611668725	Height~Sex_M+Age+Age2+pEUR+PRS0	Height~Sex_M+Age+Age2+pEUR	1.648	1000	all	0.535	PRS_META_AFR2	HRS_AFR	90890	META_AFR+PAGE
